movie_id,title,genres,imdb_id,tmdb_id,year,budget,vote_count,vote_average,revenue,runtime,popularity,overview
73321,The Book of Eli,Action|Adventure|Drama,1037705,20504,2010,80000000.0,4303.0,6.7,157107755.0,118.0,24.843000000000004,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind."
74450,Valentine's Day,Comedy|Romance,817230,32856,2010,52000000.0,2323.0,5.9,216485654.0,125.0,16.444000000000006,"More than a dozen Angelenos navigate Valentine's Day from early morning until midnight. Three couples awake together, but each relationship will sputter. A grade-school boy wants flowers for his first true love. Two high school seniors plan first-time sex at noon. A TV sports reporter gets the assignment to find romance in LA. A star quarterback contemplates his future. Two strangers meet on a plane. Grandparents, together for years, face a crisis. An 'I Hate Valentine's Day' dinner beckons the lonely and the lied to."
74458,Shutter Island,Drama|Mystery|Thriller,1130884,11324,2010,80000000.0,16456.0,8.2,294804195.0,138.0,35.806,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by his troubling visions and also by a mysterious doctor."
74530,Percy Jackson & the Olympians: The Lightning Thief,Adventure|Fantasy,814255,32657,2010,95000000.0,5399.0,6.2,226497209.0,119.0,44.19300000000001,"Accident prone teenager, Percy discovers he's actually a demi-God, the son of Poseidon, and he is needed when Zeus' lightning is stolen. Percy must master his new found skills in order to prevent a war between the Gods that could devastate the entire world."
74688,Dear John,Drama|Romance|War,989757,22971,2010,25000000.0,3226.0,6.8,114977104.0,115.0,19.448,"While Sergeant John Tyree is home on two weeks leave from Germany, he meets Savannah after he dives into the ocean to retrieve Savannah's purse that had fallen off a pier. John eventually falls in love with Savannah, who promises to write to him until he returns from overseas."
74789,Alice in Wonderland,Adventure|Fantasy|IMAX,1014759,12155,2010,200000000.0,10598.0,6.6,1025467110.0,108.0,27.519000000000002,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne."
75341,Remember Me,Drama|Romance,1403981,23169,2010,16000000.0,2717.0,7.1,56032889.0,113.0,19.921,"Still reeling from a heartbreaking family event and his parents' subsequent divorce, Tyler Hawkins discovers a fresh lease on life when he meets Ally Craig, a gregarious beauty who witnessed her mother's death. But as the couple draws closer, the fallout from their separate tragedies jeopardizes their love."
76093,How to Train Your Dragon,Adventure|Animation|Children|Fantasy|IMAX,892769,10191,2010,165000000.0,9400.0,7.8,494878759.0,100.0,43.942,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father"
76175,Clash of the Titans,Action|Adventure|Drama|Fantasy,800320,18823,2010,125000000.0,4531.0,5.8,493214993.0,106.0,30.914,"Born of a god but raised as a man, Perseus is helpless to save his family from Hades, vengeful god of the underworld. With nothing to lose, Perseus volunteers to lead a dangerous mission to defeat Hades before he can seize power from Zeus and unleash hell on earth. Battling unholy demons and fearsome beasts, Perseus and his warriors will only survive if Perseus accepts his power as a god, defies fate and creates his own destiny."
76251,Kick-Ass,Action|Comedy,1250777,23483,2010,28000000.0,8858.0,7.1,96188903.0,117.0,32.72,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so."
77561,Iron Man 2,Action|Adventure|Sci-Fi|Thriller|IMAX,1228705,10138,2010,200000000.0,15008.0,6.8,623933331.0,124.0,49.62600000000001,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies."
77866,Robin Hood,Action|Adventure|Drama|Romance|War,955308,20662,2010,200000000.0,3206.0,6.4,310669540.0,140.0,24.51,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey."
78039,Blue Valentine,Drama|Romance,1120985,46705,2010,3500000.0,2133.0,6.9,16566240.0,112.0,21.131,"Dean and Cindy live a quiet life in a modest neighborhood. They appear to have the world at their feet at the outset of the relationship. However, his lack of ambition and her retreat into self-absorption cause potentially irreversible cracks in their marriage."
78105,Prince of Persia: The Sands of Time,Action|Adventure|Fantasy|Romance|IMAX,473075,9543,2010,150000000.0,4998.0,6.2,335154643.0,116.0,25.076,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world."
78316,Letters to Juliet,Drama|Romance,892318,37056,2010,30000000.0,2138.0,6.9,82148538.0,105.0,19.472,"An American girl on vacation in Italy finds an unanswered ""letter to Juliet"" -- one of thousands of missives left at the fictional lover's Verona courtyard, which are typically answered by a the ""secretaries of Juliet"" -- and she goes on a quest to find the lovers referenced in the letter."
78469,The A-Team,Action|Comedy|Thriller,429493,34544,2010,110000000.0,3296.0,6.3,177238796.0,119.0,24.074,"A group of Iraq War veterans goes on the run from U.S. military forces while they try to clear their names after being framed for a crime they didn't commit. Along the way, Col. Hannibal Smith, Capt. H.M. ‘Howling Mad’ Murdock , Sgt. Bosco ‘B.A.’ Baracus, and Lt. Templeton ‘Faceman’ Peck help out various people they encounter."
78499,Toy Story 3,Adventure|Animation|Children|Comedy|Fantasy|IMAX,435761,10193,2010,200000000.0,10695.0,7.8,1066969703.0,103.0,43.515,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy."
78637,Shrek Forever After,Adventure|Animation|Children|Comedy|Fantasy|IMAX,892791,10192,2010,165000000.0,4946.0,6.2,752600867.0,93.0,50.751999999999995,"A bored and domesticated Shrek pacts with deal-maker Rumpelstiltskin to get back to feeling like a real ogre again, but when he's duped and sent to a twisted version of Far Far Away—where Rumpelstiltskin is king, ogres are hunted, and he and Fiona have never met—he sets out to restore his world and reclaim his true love."
